key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
g101||HOXD9	HOXD9	g101	-0.478806124482002	0.000762284714759269	-0.500036324380227	0.040951942957999	-0.605884927700714	0.000495390579724881	-0.495759708539124	0.000459292027381512	-0.467772432283693	0.0582943236541712	-0.559113300492611	0.00191663965895511	0	0	0	0	0	0
g102||HOXD9	HOXD9	g102	-0.533468934869229	0.000134782589973556	-0.554944361069186	0.0207642667568832	-0.672336812380001	6.47348516674273e-05	-0.579481328716106	2.4447882079083e-05	-0.57388116243363	0.0160016672614287	-0.615763546798029	0.000493970359563573	0	0	0	0	0	0
g103||HOXD9	HOXD9	g103	-0.46744220039006	0.00105534605486687	-0.0767683855732652	0.769639374043353	-0.612051602267194	0.000418035394473276	-0.458402713536849	0.0015157251207776	-0.149509803921569	0.565859528235045	-0.641871921182266	0.000242198512934216	0	0	0	0	0	0
g104||HOXD9	HOXD9	g104	-0.407795422717503	0.00490645146297134	-0.447718570707077	0.0715204187229036	-0.505953517296409	0.00510725370379178	-0.421646623496762	0.00378493753873882	-0.387254901960784	0.125504021294505	-0.539901477832512	0.00288847021909736	0	0	0	0	0	0
g105||HOXD9	HOXD9	g105	-0.518058628389823	0.000226338247510424	-0.476617527403516	0.0530780678526336	-0.662095969861782	9.14865779001957e-05	-0.658711069996916	1.35922889567449e-06	-0.495098039215686	0.0453630429625201	-0.707389162561576	2.9423144203566e-05	0	0	0	0	0	0
g106||HOXD9	HOXD9	g106	-0.450599593895637	0.00167525480858597	0.38618238099234	0.125743684599462	-0.549505226756561	0.00201798627190223	-0.335502174139593	0.0226448457022117	0.489270478228672	0.0462332016543317	-0.53448275862069	0.00322977329000901	0	0	0	0	0	0
g107||HOXD9	HOXD9	g107	-0.488225226774057	0.000577132565430489	0.0369293253648496	0.888096962294468	-0.59677882456997	0.000632573880219155	-0.509219858156028	0.000362450757870872	-0.0392156862745098	0.883482430045583	-0.580295566502463	0.00118636584374009	0	0	0	0	0	0
g108||HOXD9	HOXD9	g108	-0.552337600276328	6.89825726800627e-05	0.435116641084934	0.0808845579351904	-0.694755022234646	2.89230402136006e-05	-0.401541782300339	0.00600954477974471	0.379901960784314	0.133318328937149	-0.61871921182266	0.000457091782100599	0	0	0	0	0	0
g109||HOXD9	HOXD9	g109	-0.293621097709426	0.0476446194625174	0.489867018317384	0.0459277950346204	-0.373158552942491	0.0461731666710378	-0.269441874807277	0.0704103295569571	0.448529411764706	0.0726968626029658	-0.413793103448276	0.0265280125915149	0	0	0	0	0	0
g110||HOXD9	HOXD9	g110	-0.519438421889384	0.000216290768795014	0.26668851975668	0.300798283832918	-0.651016370139051	0.0001311144295695	-0.403885291396855	0.00570181042394648	0.389705882352941	0.12297386398764	-0.589162561576355	0.00096161684865219	0	0	0	0	0	0
g111||HOXD9	HOXD9	g111	-0.433301692408688	0.00262965700543631	0.367198485132151	0.147085412172204	-0.541869610676617	0.00239619348381326	-0.362834588083689	0.0132033282282437	0.327607608572195	0.19926347807805	-0.585221674876847	0.00105644728642282	0	0	0	0	0	0
