gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
TAL1	1	3.76	3.7	3.8	-0.091	0.0365	-2.17	0.0469	159	1	1	1
HOXD9	1	3.64	3.67	3.63	0.0439	0.285	1.09	0.343	289	1	1	1
ZNF567	1	3.84	3.85	3.83	0.0152	0.287	1.08	0.391	285	1	1	1
g138	0	3.37e-16	-0.159	0.093	-0.252	0.291	-1.08	0.573	221	1	1	1
g183	0	-3.74e-16	-0.157	0.0922	-0.249	0.295	-1.07	0.857	255	1	1	1
g43	0	4.05e-16	-0.154	0.0905	-0.245	0.304	-1.05	0.181	187	1	1	1
GTF3A	1	4.18	4.19	4.18	0.0116	0.32	1.01	0.181	306	1	1	1
g182	0	7.67e-17	-0.137	0.0801	-0.217	0.363	-0.925	0.573	221	1	1	1
g115	0	-4.68e-16	-0.136	0.0798	-0.216	0.364	-0.923	0.573	221	1	1	1
g155	0	1.97e-16	-0.134	0.0784	-0.212	0.373	-0.906	0.573	221	1	1	1
g73	0	-5.22e-17	-0.127	0.0745	-0.201	0.397	-0.86	0.857	238	1	1	1
g173	0	-2.83e-16	-0.121	0.0708	-0.192	0.42	-0.818	0.856	238	2	2	1
g117	0	-1.26e-16	-0.12	0.0702	-0.19	0.424	-0.811	0.573	221	1	1	1
g108	0	-1.76e-16	-0.115	0.0672	-0.182	0.444	-0.776	0.181	187	1	1	1
g23	0	1.6e-17	-0.113	0.0662	-0.179	0.451	-0.764	0.181	187	1	1	1
g27	0	1.19e-16	-0.113	0.066	-0.179	0.453	-0.761	0.573	221	1	1	1
g202	0	5.24e-17	-0.111	0.0654	-0.177	0.457	-0.754	0.181	187	1	1	1
g52	0	-8.78e-17	-0.11	0.0644	-0.174	0.463	-0.743	0.573	221	1	1	1
NKX6-1	1	3.29	3.25	3.32	-0.0712	0.466	-0.738	0.62	224	1	1	1
g124	0	-2.24e-16	-0.108	0.0632	-0.171	0.472	-0.729	0.856	238	2	2	1
g63	0	2.27e-16	-0.103	0.0605	-0.164	0.491	-0.698	0.857	255	1	1	1
g726	0	-2.83e-16	-0.101	0.0594	-0.161	0.499	-0.685	0.857	238	1	1	1
CREM	1	3.88	3.89	3.88	0.0151	0.502	0.681	0.822	257	1	1	1
RBAK	1	3.9	3.91	3.9	0.00688	0.531	0.632	0.62	269	1	1	1
g82	0	-1.17e-16	-0.0938	0.055	-0.149	0.531	-0.634	0.339	204	2	2	1
g167	0	9.26e-17	-0.084	0.0493	-0.133	0.575	-0.567	0.343	204	1	1	1
CUX1	1	4.04	4.03	4.04	-0.00767	0.577	-0.563	0.617	224	2	2	1
g156	0	4.77e-17	-0.0786	0.0461	-0.125	0.6	-0.531	0.181	187	1	1	1
ZNF674	1	3.7	3.69	3.7	-0.011	0.603	-0.524	0.652	226	1	1	1
g87	0	-7.54e-17	-0.0703	0.0412	-0.112	0.639	-0.474	0.856	238	2	2	1
TOX4	1	4.06	4.06	4.06	-0.00435	0.647	-0.462	0.91	241	1	1	1
E2F6	1	3.91	3.91	3.91	0.00563	0.682	0.415	0.893	253	1	1	1
g170	0	-1.83e-16	-0.0607	0.0356	-0.0964	0.685	-0.41	0.573	221	1	1	1
CSDA	1	4.22	4.22	4.23	-0.0096	0.709	-0.377	0.4	209	2	2	1
g98	0	-5.12e-17	-0.0551	0.0323	-0.0875	0.713	-0.372	0.343	204	1	1	1
g1	0	-1.32e-16	-0.06	0.0352	-0.0952	0.754	-0.316	0.652	226	1	1	1
g113	0	1.27e-16	-0.0447	0.0262	-0.0709	0.765	-0.301	0.573	221	1	1	1
g1307	0	-3.97e-16	0.0445	-0.0261	0.0707	0.766	0.3	0.569	221	2	2	1
g672	0	-1.44e-16	0.0442	-0.0259	0.07	0.768	0.298	0.343	289	1	1	1
g171	0	2.11e-16	-0.0436	0.0256	-0.0692	0.771	-0.294	0.857	238	1	1	1
g46	0	-1.47e-16	-0.0408	0.0239	-0.0646	0.786	-0.275	0.573	221	1	1	1
FOXD3	1	3	2.98	3.02	-0.0393	0.799	-0.256	0.753	232	1	1	1
g177	0	4.97e-16	-0.0339	0.0199	-0.0538	0.821	-0.229	0.343	289	1	1	1
g79	0	2.17e-16	-0.0336	0.0197	-0.0534	0.822	-0.227	0.857	238	1	1	1
g141	0	4.99e-16	-0.0245	0.0144	-0.0389	0.87	-0.165	0.573	221	1	1	1
g748	0	2.95e-16	-0.022	0.0129	-0.0348	0.883	-0.148	0.569	221	2	2	1
g1173	0	2.7e-16	-0.0165	0.00965	-0.0261	0.912	-0.111	0.857	238	1	1	1
TEAD3	1	3.97	3.97	3.97	0.002	0.915	0.108	0.946	250	1	1	1
g195	0	2.15e-16	0.014	-0.00822	0.0222	0.925	0.0944	0.181	306	1	1	1
g189	0	3.29e-16	0.00799	-0.00469	0.0127	0.957	0.0539	0.343	204	1	1	1
g47	0	2.18e-16	0.00708	-0.00415	0.0112	0.962	0.0477	0.857	238	1	1	1
g152	0	-4.88e-16	-0.00681	0.00399	-0.0108	0.964	-0.0459	0.343	289	1	1	1
g80	0	1.05e-17	0.000998	-0.000585	0.00158	0.995	0.00672	0.857	255	1	1	1
