gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
TAL1	1	3.76	3.7	3.8	-0.091	0.0365	-2.17	0.0469	159	1	1	1
LYL1	1	3.93	3.88	3.97	-0.0867	0.0444	-2.1	0.0314	152	1	1	1
g107	0	-1.11e-16	-0.281	0.165	-0.446	0.0622	-1.94	0.0837	170	1	1	1
g67	0	8.28e-17	-0.261	0.153	-0.414	0.0833	-1.8	0.339	204	2	2	1
g106	0	2.92e-16	-0.25	0.147	-0.397	0.0967	-1.72	0.179	187	2	2	1
NR2E1	1	2.68	2.81	2.6	0.206	0.109	1.64	0.139	312	2	1	1
g76	0	2.24e-16	-0.237	0.139	-0.376	0.115	-1.63	0.343	204	1	1	1
ZNF518A	1	3.96	3.95	3.96	-0.0188	0.116	-1.61	0.112	176	1	1	1
g59	0	4.46e-17	-0.222	0.13	-0.351	0.141	-1.52	0.0837	170	1	1	1
g179	0	4.63e-16	-0.221	0.13	-0.351	0.142	-1.51	0.573	221	1	1	1
g83	0	-2.61e-17	-0.217	0.127	-0.344	0.149	-1.48	0.179	187	2	2	1
g163	0	-2.05e-16	-0.211	0.123	-0.334	0.161	-1.44	0.0837	170	1	1	1
g184	0	-8.13e-17	-0.209	0.122	-0.331	0.165	-1.43	0.0837	170	1	1	1
g1892	0	4.77e-17	-0.264	0.155	-0.418	0.169	-1.4	0.197	189	1	1	1
g21	0	2.48e-16	-0.202	0.118	-0.32	0.18	-1.37	0.181	187	1	1	1
g745	0	3.77e-16	-0.19	0.111	-0.301	0.206	-1.29	0.0837	170	1	1	1
g118	0	-1.91e-16	-0.188	0.11	-0.299	0.21	-1.28	0.573	221	1	1	1
g61	0	-1.12e-16	-0.187	0.11	-0.297	0.214	-1.27	0.343	204	1	1	1
g708	0	-1.19e-16	-0.183	0.107	-0.29	0.223	-1.25	0.569	221	2	2	1
g99	0	1.23e-16	-0.182	0.106	-0.288	0.227	-1.24	0.573	221	1	1	1
g252	0	-2.81e-17	0.254	-0.149	0.402	0.23	1.23	0.299	293	1	1	1
g140	0	4.18e-16	-0.18	0.105	-0.285	0.232	-1.22	0.573	221	1	1	1
g147	0	5.25e-17	-0.179	0.105	-0.283	0.234	-1.22	0.0837	170	1	1	1
g60	0	-3.52e-16	-0.178	0.104	-0.282	0.237	-1.21	0.0343	153	2	2	1
g72	0	-4.5e-16	-0.173	0.101	-0.274	0.25	-1.18	0.181	187	1	1	1
ZNF624	1	3.68	3.67	3.69	-0.0213	0.254	-1.17	0.495	216	2	1	1
g165	0	-6.14e-17	-0.171	0.1	-0.271	0.256	-1.16	0.181	187	1	1	1
g168	0	5.05e-16	-0.17	0.0996	-0.27	0.258	-1.16	0.857	238	1	1	1
g126	0	-5.34e-16	-0.17	0.0994	-0.269	0.259	-1.15	0.343	204	1	1	1
g751	0	3.4e-16	-0.169	0.0989	-0.268	0.261	-1.15	0.181	187	1	1	1
g143	0	-1.08e-16	-0.168	0.0988	-0.267	0.262	-1.14	0.573	221	1	1	1
g54	0	-2.35e-16	-0.168	0.0986	-0.267	0.263	-1.14	0.569	221	2	2	1
HOXD9	1	3.64	3.67	3.63	0.0439	0.285	1.09	0.343	289	1	1	1
ZNF567	1	3.84	3.85	3.83	0.0152	0.287	1.08	0.391	285	1	1	1
